"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.67","TORONTO CITY","6158355","2016-04-01 00:00","2016","04","01","00:00","10.9","","9.5","","91","","0.0","","","M","","M","","","98.18","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2016-04-01 01:00","2016","04","01","01:00","11.6","","8.1","","79","","0.0","","","M","","M","","","98.23","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2016-04-01 02:00","2016","04","01","02:00","12.6","","8.8","","78","","0.0","","","M","","M","","","98.31","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2016-04-01 03:00","2016","04","01","03:00","12.4","","7.2","","70","","0.0","","","M","","M","","","98.27","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2016-04-01 04:00","2016","04","01","04:00","11.9","","7.1","","72","","0.0","","","M","","M","","","98.35","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2016-04-01 05:00","2016","04","01","05:00","11.2","","7.1","","76","","0.0","","","M","","M","","","98.41","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2016-04-01 06:00","2016","04","01","06:00","10.8","","6.6","","75","","0.0","","","M","","M","","","98.42","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2016-04-01 07:00","2016","04","01","07:00","10.7","","6.0","","73","","0.0","","","M","","M","","","98.49","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2016-04-01 08:00","2016","04","01","08:00","10.3","","5.1","","70","","0.0","","","M","","M","","","98.53","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2016-04-01 09:00","2016","04","01","09:00","10.2","","4.9","","70","","0.0","","","M","","M","","","98.58","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2016-04-01 10:00","2016","04","01","10:00","9.3","","4.3","","71","","0.2","","","M","","M","","","98.63","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2016-04-01 11:00","2016","04","01","11:00","8.9","","3.6","","69","","0.0","","","M","","M","","","98.67","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2016-04-01 12:00","2016","04","01","12:00","9.4","","2.8","","64","","0.0","","","M","","M","","","98.68","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2016-04-01 13:00","2016","04","01","13:00","8.6","","1.9","","63","","0.0","","","M","","M","","","98.82","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2016-04-01 14:00","2016","04","01","14:00","9.3","","0.4","","54","","0.0","","","M","","M","","","98.86","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2016-04-01 15:00","2016","04","01","15:00","8.8","","0.6","","56","","0.0","","","M","","M","","","98.85","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2016-04-01 16:00","2016","04","01","16:00","8.4","","-0.5","","53","","0.0","","","M","","M","","","98.95","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2016-04-01 17:00","2016","04","01","17:00","6.8","","-1.1","","57","","0.0","","","M","","M","","","99.09","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2016-04-01 18:00","2016","04","01","18:00","6.8","","-1.3","","56","","0.0","","","M","","M","","","99.17","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2016-04-01 19:00","2016","04","01","19:00","6.1","","-2.1","","56","","0.0","","","M","","M","","","99.10","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2016-04-01 20:00","2016","04","01","20:00","5.7","","-2.1","","57","","0.0","","","M","","M","","","99.23","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2016-04-01 21:00","2016","04","01","21:00","5.5","","-1.9","","59","","0.0","","","M","","M","","","99.25","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2016-04-01 22:00","2016","04","01","22:00","5.4","","-1.9","","59","","0.0","","","M","","M","","","99.14","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2016-04-01 23:00","2016","04","01","23:00","4.4","","-1.9","","64","","0.0","","","M","","M","","","99.08","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2016-04-02 00:00","2016","04","02","00:00","4.8","","-1.2","","65","","0.0","","","M","","M","","","99.00","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2016-04-02 01:00","2016","04","02","01:00","4.5","","2.6","","88","","0.0","","","M","","M","","","98.89","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2016-04-02 02:00","2016","04","02","02:00","4.0","","2.7","","92","","0.0","","","M","","M","","","98.79","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2016-04-02 03:00","2016","04","02","03:00","3.8","","2.8","","93","","0.0","","","M","","M","","","98.65","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2016-04-02 04:00","2016","04","02","04:00","3.4","","2.3","","93","","0.0","","","M","","M","","","98.63","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2016-04-02 05:00","2016","04","02","05:00","3.6","","-0.2","","76","","0.0","","","M","","M","","","98.60","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2016-04-02 06:00","2016","04","02","06:00","1.8","","-1.8","","77","","0.0","","","M","","M","","","98.62","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2016-04-02 07:00","2016","04","02","07:00","2.0","","-3.9","","65","","0.0","","","M","","M","","","98.68","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2016-04-02 08:00","2016","04","02","08:00","2.2","","-4.7","","60","","0.0","","","M","","M","","","98.72","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2016-04-02 09:00","2016","04","02","09:00","2.3","","-5.0","","58","","0.2","","","M","","M","","","98.68","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2016-04-02 10:00","2016","04","02","10:00","4.1","","-4.4","","54","","0.0","","","M","","M","","","98.68","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2016-04-02 11:00","2016","04","02","11:00","4.7","","-6.5","","44","","0.0","","","M","","M","","","98.60","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2016-04-02 12:00","2016","04","02","12:00","4.2","","-5.0","","51","","0.0","","","M","","M","","","98.51","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2016-04-02 13:00","2016","04","02","13:00","5.3","","-2.7","","56","","0.0","","","M","","M","","","98.42","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2016-04-02 14:00","2016","04","02","14:00","3.2","","0.4","","82","","0.0","","","M","","M","","","98.39","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2016-04-02 15:00","2016","04","02","15:00","4.2","","-2.3","","63","","0.0","","","M","","M","","","98.28","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2016-04-02 16:00","2016","04","02","16:00","3.6","","-5.4","","52","","0.0","","","M","","M","","","98.25","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2016-04-02 17:00","2016","04","02","17:00","2.6","","-1.0","","77","","0.0","","","M","","M","","","98.28","","","","","","NA"
